job_id,title,company,location,job_url,source,search_term,scraped_at,applied,notes
01fb068f0fcf1e10,Intern - AI/ML,Augurs Technologies Pvt. Ltd,"Lucknow, Uttar Pradesh",https://in.indeed.com/viewjob?jk=01fb068f0fcf1e10,Indeed,Artificial Intelligence Intern,2026-05-30 14:05,No,
5f52fd3675fb7385,AI/ MI Pythone intern,Hasten solutions,"Nagpur, Maharashtra",https://in.indeed.com/viewjob?jk=5f52fd3675fb7385,Indeed,Artificial Intelligence Intern,2026-05-30 14:05,No,
3a4ee0dd7007ac0b,Web Developer Intern,AIDEN,Remote,https://in.indeed.com/viewjob?jk=3a4ee0dd7007ac0b,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
20524d087d793dd6,Digital Marketing Intern,Heliokraft Renewable Solutions India Pvt ltd,"Subhanpura, Vadodara, Gujarat",https://in.indeed.com/viewjob?jk=20524d087d793dd6,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
930a85ffe0c00268,Software Intern,Expedite Informatics,Remote,https://in.indeed.com/viewjob?jk=930a85ffe0c00268,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
808c1f1be9b84616,Business Development Intern,FUTURRIZON TECHNOLOGIES PVT LTD,"Ahmedabad, Gujarat",https://in.indeed.com/viewjob?jk=808c1f1be9b84616,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
96afa723d6ee2671,Generative AI Intern – Analytics & Innovation (AI),United Airlines,"Gurugram, Haryana",https://in.indeed.com/viewjob?jk=96afa723d6ee2671,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
d1985513fe11a500,Intern - Mass Properties Weight data Verification and Validation,Airbus India Private Limited,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=d1985513fe11a500,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
dc3d6e87af2d4f3a,AI & ML Intern,AIDEN,Remote,https://in.indeed.com/viewjob?jk=dc3d6e87af2d4f3a,Indeed,Machine Learning Intern,2026-05-30 14:05,No,
425700884145e1fb,GD - Intern,Zycus,"Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=425700884145e1fb,Indeed,Data Analyst Intern,2026-05-30 14:05,No,
bc4089b137349c52,Quality Anayst- Intern Non Technical,Shiftrisk Insurance Brokers Pvt Ltd,"Chembur, Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=bc4089b137349c52,Indeed,Data Analyst Intern,2026-05-30 14:05,No,
f16ad1d15cd5d245,Software Developer,iSpider Software Solutions,"Puducherry, Puducherry",https://in.indeed.com/viewjob?jk=f16ad1d15cd5d245,Indeed,Software Developer,2026-05-30 14:05,No,
